1. Consanguineous marriages (between relatives) should be avoided to prevent genetic diseases,2. Genetic testing before marriage should be made mandatory in areas where these diseases are common,"3.If I knew about the health risks, I would advise my friends or relatives against a consanguineous marriage.","4.In my community, it is acceptable for a couple to get tested for genetic diseases before marriage.",5. Do you agree that there is a general preference towards consanguineous marriage over non-consanguineous marriage?
2,4,4,3,4
5,4,3,2,3
5,3,4,2,4
4,4,4,4,2
5,4,4,1,2
4,5,5,2,1
5,4,5,2,2
2,5,4,2,5
4,5,4,3,4
3,4,2,1,4
1,5,5,5,3
5,5,5,5,2
3,4,1,2,3
1,5,5,3,4
2,4,1,2,2
1,3,3,1,1
4,4,4,2,2
3,3,4,2,4
5,3,5,1,5
4,4,1,1,1
3,4,1,2,4
2,4,4,2,2
2,1,3,1,5
4,4,4,2,3
3,5,4,4,1
1,5,2,2,1
2,3,1,3,2
4,2,5,2,3
3,4,3,4,4
4,4,2,4,4
5,5,5,2,5
3,4,3,2,2
1,5,3,3,5
3,5,3,4,3
2,4,1,1,1
1,1,5,4,5
4,5,1,2,3
3,4,2,2,3
1,1,5,4,5
1,1,5,1,1
2,3,2,3,3
4,2,5,3,3
2,4,2,2,2
3,3,4,4,4
2,3,2,2,4
3,3,3,2,4
2,4,4,2,2
2,2,3,2,5
2,2,4,2,4
2,2,4,2,4
3,2,3,2,4
2,3,3,2,4
3,5,4,1,2
3,5,5,2,4
2,4,4,3,1
3,3,3,3,3
3,4,3,3,5
3,5,5,4,3
5,5,4,1,3
3,3,3,4,4
4,4,4,1,2
2,4,2,4,1
5,5,5,5,5
5,5,5,5,5
1,4,2,1,4
5,5,4,5,5
4,5,4,3,1
4,5,5,5,5
2,5,5,4,2
3,2,3,1,2
3,3,2,1,2
5,5,5,5,1
2,4,5,5,5
5,5,5,5,5
5,5,4,5,1
4,3,4,5,2
4,3,4,1,3
3,4,4,2,4
3,3,4,1,2
3,3,3,4,2
3,3,1,5,3
4,3,2,3,4
1,4,1,5,1
1,2,2,1,2
3,2,4,1,1
4,5,4,2,4
5,5,4,3,4
4,4,5,3,1
5,5,5,5,5
4,2,5,,1
5,5,5,5,5
3,3,3,3,4
4,3,5,2,4
5,4,5,1,3
5,5,5,3,2
5,5,5,5,5
5,5,3,5,1
2,2,3,2,4
1,1,1,2,3
5,5,5,5,5
2,2,2,5,4
5,5,5,5,2
3,5,2,4,2
5,5,5,5,5
1,2,2,2,5
4,3,4,1,2
,,,,
1,5,1,5,5
4,4,5,3,4
4,5,5,2,4
3,3,3,2,2
2,1,2,1,4
3,3,4,1,3
1,5,1,5,5
4,2,4,2,4
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,2,1,1,1
1,2,2,1,1
2,3,2,1,1
2,3,2,1,1
2,3,2,1,1
2,3,2,1,1
2,3,2,1,1
2,3,3,1,1
2,3,3,1,2
2,3,3,1,2
2,3,3,1,2
2,3,3,1,2
2,3,3,2,2
2,3,3,2,2
2,3,3,2,2
2,3,3,2,2
2,4,3,2,2
2,4,3,2,2
2,4,3,2,2
2,4,3,2,2
2,4,3,2,2
2,4,4,2,2
3,4,4,2,2
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,3
3,4,4,2,4
3,4,4,2,4
3,4,4,2,4
3,4,4,2,4
3,4,4,2,4
3,4,4,2,4
3,4,4,3,4
3,4,4,3,4
4,4,4,3,4
4,5,4,3,4
4,4,4,3,4
4,5,4,3,4
4,5,4,3,4
4,5,4,3,4
4,5,4,3,4
4,5,5,4,4
4,5,5,4,5
4,5,5,4,5
4,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
